Sl. No.,State/UT,2022-23,2023-24
1,Andhra Pradesh,0,4.68
2,Assam,0,0.11
3,Bihar,0,0.58
4,Chandigarh,0,0.01
5,Chhattisgarh,0,0.4
6,Delhi,0,0.94
7,Gujarat,0,0.02
8,Haryana,0,0.32
9,Jammu and Kashmir,0,2.87
10,Jharkhand,0,0.04
11,Karnataka,0,3.28
12,Kerala,0,0.02
13,Ladakh,0,0.05
14,Maharashtra,0,0.31
15,Manipur,0.06,0.02
16,Meghalaya,0,0
17,Madhya Pradesh,0,0.99
18,Odisha,0,0.61
19,Punjab,0,0.08
20,Rajasthan,0,0.02
21,Telangana,0,0.93
22,Tripura,0,0.08
23,Uttar Pradesh,0,7.99
24,Uttarakhand,0,0.32
25,West Bengal,0,0.19
Grand Total,Grand Total,0.06,24.86
