fin_year,mnth,lgd_state_code,state_name,lgd_district_code,district_name,scheme_code,total_beneficiaries,total_sc,total_st,total_gen,total_obc,total_aadhar,total_mobileno,lastUpdated
2024-2025,06,1,"JAMMU AND KASHMIR",12,RAJAURI,IGNDPS,72,3,5,64,0,69,2,2024-07-29
2024-2025,06,1,"JAMMU AND KASHMIR",13,SRINAGAR,IGNDPS,110,0,0,110,0,99,71,2024-07-29
2024-2025,06,1,"JAMMU AND KASHMIR",14,UDHAMPUR,IGNDPS,19,3,1,14,1,17,4,2024-07-29
2024-2025,06,1,"JAMMU AND KASHMIR",4,DODA,IGNDPS,224,18,12,194,0,224,48,2024-07-29
2024-2025,06,1,"JAMMU AND KASHMIR",5,JAMMU,IGNDPS,14,2,1,10,1,14,1,2024-07-29
2024-2025,06,1,"JAMMU AND KASHMIR",624,SAMBA,IGNDPS,63,9,7,46,1,61,3,2024-07-29
2024-2025,06,1,"JAMMU AND KASHMIR",627,REASI,IGNDPS,28,1,11,16,0,28,0,2024-07-29
2024-2025,06,10,BIHAR,193,BHOJPUR,IGNDPS,2813,458,11,1732,612,1703,2234,2024-07-29
2024-2025,06,10,BIHAR,208,MUZAFFARPUR,IGNDPS,3652,689,15,2806,142,2600,3082,2024-07-29
2024-2025,06,10,BIHAR,213,"PURBI CHAMPARAN",IGNDPS,9960,898,797,7745,520,5747,6567,2024-07-29
2024-2025,06,10,BIHAR,215,ROHTAS,IGNDPS,3252,319,38,2717,178,2420,2442,2024-07-29
2024-2025,06,10,BIHAR,219,SHEIKHPURA,IGNDPS,1139,166,3,874,96,770,891,2024-07-29
2024-2025,06,10,BIHAR,222,SIWAN,IGNDPS,4943,779,305,2207,1652,3314,3781,2024-07-29
2024-2025,06,10,BIHAR,223,SUPAUL,IGNDPS,1036,157,17,661,201,716,865,2024-07-29
2024-2025,06,11,SIKKIM,226,"NORTH DISTRICT",IGNDPS,31,0,29,0,2,0,0,2024-07-29
2024-2025,06,12,"ARUNACHAL PRADESH",232,"EAST SIANG",IGNDPS,196,0,196,0,0,102,0,2024-07-29
2024-2025,06,12,"ARUNACHAL PRADESH",241,"UPPER SUBANSIRI",IGNDPS,228,0,228,0,0,44,0,2024-07-29
2024-2025,06,12,"ARUNACHAL PRADESH",628,ANJAW,IGNDPS,74,0,74,0,0,51,0,2024-07-29
2024-2025,06,12,"ARUNACHAL PRADESH",677,"KRA DAADI",IGNDPS,73,0,73,0,0,36,0,2024-07-29
2024-2025,06,12,"ARUNACHAL PRADESH",679,SIANG,IGNDPS,58,0,58,0,0,41,0,2024-07-29
2024-2025,06,12,"ARUNACHAL PRADESH",723,"PAKKE KESSANG",IGNDPS,47,0,47,0,0,26,0,2024-07-29
2024-2025,06,13,NAGALAND,246,MOKOKCHUNG,IGNDPS,139,0,139,0,0,15,0,2024-07-29
2024-2025,06,13,NAGALAND,613,PEREN,IGNDPS,51,0,51,0,0,0,0,2024-07-29
2024-2025,06,13,NAGALAND,614,KIPHIRE,IGNDPS,75,0,75,0,0,12,4,2024-07-29
2024-2025,06,14,MANIPUR,257,SENAPATI,IGNDPS,126,0,124,2,0,38,0,2024-07-29
2024-2025,06,14,MANIPUR,258,TAMENGLONG,IGNDPS,49,0,49,0,0,16,0,2024-07-29
2024-2025,06,15,MIZORAM,261,AIZAWL,IGNDPS,226,1,219,6,0,158,158,2024-07-29
