fin_year,mnth,lgd_state_code,state_name,lgd_district_code,district_name,scheme_code,total_beneficiaries,total_sc,total_st,total_gen,total_obc,total_aadhar,total_mobileno,lastUpdated
2024-2025,06,1,"JAMMU AND KASHMIR",10,POONCH,IGNOAPS,3979,2,1458,2280,239,3696,5,2024-07-30
2024-2025,06,1,"JAMMU AND KASHMIR",13,SRINAGAR,IGNOAPS,5298,0,1,5296,1,5069,3399,2024-07-30
2024-2025,06,1,"JAMMU AND KASHMIR",2,BADGAM,IGNOAPS,11806,259,72,11251,224,11802,3795,2024-07-30
2024-2025,06,1,"JAMMU AND KASHMIR",7,KATHUA,IGNOAPS,4180,1345,176,2210,449,4175,180,2024-07-30
2024-2025,06,10,BIHAR,188,ARARIA,IGNOAPS,110634,12180,333,96745,1376,78720,77636,2024-07-30
2024-2025,06,10,BIHAR,189,AURANAGABAD,IGNOAPS,66486,21599,630,43590,667,43992,50309,2024-07-30
2024-2025,06,10,BIHAR,191,BEGUSARAI,IGNOAPS,96466,19367,654,56403,20042,79433,79898,2024-07-30
2024-2025,06,10,BIHAR,194,BUXAR,IGNOAPS,66681,14325,1132,49368,1856,55280,59425,2024-07-30
2024-2025,06,10,BIHAR,197,GOPALGANJ,IGNOAPS,63573,12700,2764,25578,22531,37717,55428,2024-07-30
2024-2025,06,10,BIHAR,215,ROHTAS,IGNOAPS,93121,5963,435,83449,3274,75784,75651,2024-07-30
2024-2025,06,10,BIHAR,611,ARWAL,IGNOAPS,27183,2731,69,23753,630,18089,21564,2024-07-30
2024-2025,06,11,SIKKIM,225,"EAST DISTRICT",IGNOAPS,6686,0,1,0,6685,1,2702,2024-07-30
2024-2025,06,12,"ARUNACHAL PRADESH",234,LOHIT,IGNOAPS,1368,0,1368,0,0,818,0,2024-07-30
2024-2025,06,12,"ARUNACHAL PRADESH",240,"UPPER SIANG",IGNOAPS,2067,0,2067,0,0,1132,17,2024-07-30
2024-2025,06,14,MANIPUR,257,SENAPATI,IGNOAPS,7906,0,7398,507,1,4190,17,2024-07-30
2024-2025,06,15,MIZORAM,268,SERCHHIP,IGNOAPS,1582,2,1489,90,1,1457,1489,2024-07-30
2024-2025,06,16,TRIPURA,653,SEPAHIJALA,IGNOAPS,16282,1339,4271,8937,1735,13166,2430,2024-07-30
2024-2025,06,16,TRIPURA,654,GOMATI,IGNOAPS,16714,2482,7184,5519,1529,12097,116,2024-07-30
2024-2025,06,16,TRIPURA,655,UNAKOTI,IGNOAPS,11067,1219,2112,6003,1733,6688,10,2024-07-30
2024-2025,06,17,MEGHALAYA,276,"RI BHOI",IGNOAPS,6147,27,6061,52,7,3562,1104,2024-07-30
2024-2025,06,17,MEGHALAYA,657,"EAST JAINTIA HILLS",IGNOAPS,2453,4,1359,1067,13,1836,482,2024-07-30
2024-2025,06,18,ASSAM,283,DARRANG,IGNOAPS,16792,369,71,14425,1927,10982,9141,2024-07-30
2024-2025,06,18,ASSAM,284,DHEMAJI,IGNOAPS,14441,863,5184,3222,5172,12055,10724,2024-07-30
2024-2025,06,18,ASSAM,286,DIBRUGARH,IGNOAPS,22146,230,438,19681,1797,14043,16629,2024-07-30
2024-2025,06,18,ASSAM,287,GOALPARA,IGNOAPS,21785,498,2727,17898,662,17099,16769,2024-07-30
2024-2025,06,18,ASSAM,289,HAILAKANDI,IGNOAPS,15333,1497,123,12358,1355,11278,12541,2024-07-30
2024-2025,06,18,ASSAM,293,KARIMGANJ,IGNOAPS,12113,431,55,11301,326,11985,8704,2024-07-30
2024-2025,06,18,ASSAM,300,SIVASAGAR,IGNOAPS,17621,908,575,7752,8386,13539,14332,2024-07-30
2024-2025,06,18,ASSAM,612,CHIRANG,IGNOAPS,8688,858,4087,2595,1148,5512,7671,2024-07-30
2024-2025,06,18,ASSAM,705,BISWANATH,IGNOAPS,20285,929,2250,15494,1612,12567,4912,2024-07-30
2024-2025,06,19,"WEST BENGAL",305,BANKURA,IGNOAPS,65855,30876,5989,27517,1331,63872,64164,2024-07-30
2024-2025,06,19,"WEST BENGAL",313,HOWRAH,IGNOAPS,32678,6662,113,25688,214,31684,31058,2024-07-30
2024-2025,06,19,"WEST BENGAL",319,MURSHIDABAD,IGNOAPS,137282,15580,1424,116379,3101,132920,130765,2024-07-30
2024-2025,06,2,"HIMACHAL PRADESH",15,BILASPUR,IGNOAPS,5735,2099,169,3207,260,2882,0,2024-07-30
2024-2025,06,2,"HIMACHAL PRADESH",17,HAMIRPUR,IGNOAPS,7993,2766,138,3792,1297,3861,0,2024-07-30
2024-2025,06,2,"HIMACHAL PRADESH",24,SIRMAUR,IGNOAPS,4767,1611,75,2595,486,1520,0,2024-07-30
2024-2025,06,20,JHARKHAND,325,DHANBAD,IGNOAPS,59238,6944,4887,18353,29054,58712,11366,2024-07-30
2024-2025,06,20,JHARKHAND,331,GUMLA,IGNOAPS,26607,1244,17214,2632,5517,25866,19333,2024-07-30
2024-2025,06,20,JHARKHAND,333,JAMTARA,IGNOAPS,34407,2727,8822,3637,19221,33748,32190,2024-07-30
2024-2025,06,20,JHARKHAND,336,LOHARDAGA,IGNOAPS,9737,462,3985,3932,1358,9534,3924,2024-07-30
2024-2025,06,20,JHARKHAND,337,PAKUR,IGNOAPS,17970,461,6050,3479,7980,17865,17939,2024-07-30
2024-2025,06,20,JHARKHAND,343,"WEST SINGHBHUM",IGNOAPS,26899,1297,16550,1134,7918,26086,24557,2024-07-30
2024-2025,06,21,ODISHA,344,ANGUL,IGNOAPS,32652,4310,2736,10466,15140,32626,27772,2024-07-30
2024-2025,06,21,ODISHA,345,BOLANGIR,IGNOAPS,71304,7700,6899,34392,22313,71294,34073,2024-07-30
2024-2025,06,21,ODISHA,353,GAJAPATI,IGNOAPS,15274,802,7700,3678,3094,15044,11575,2024-07-30
2024-2025,06,21,ODISHA,357,JHARSUGUDA,IGNOAPS,16462,2270,4186,7021,2985,16090,11379,2024-07-30
2024-2025,06,21,ODISHA,358,KALAHANDI,IGNOAPS,53740,8100,10214,16194,19232,52387,27973,2024-07-30
2024-2025,06,21,ODISHA,366,NABARANGAPUR,IGNOAPS,50694,7271,18609,18000,6814,49429,14828,2024-07-30
2024-2025,06,21,ODISHA,370,RAYAGADA,IGNOAPS,47729,5393,22533,15423,4380,45099,15642,2024-07-30
2024-2025,06,21,ODISHA,371,SAMBALPUR,IGNOAPS,31055,4900,8865,12273,5017,30912,25042,2024-07-30
2024-2025,06,21,ODISHA,372,SONEPUR,IGNOAPS,33123,7889,2755,8663,13816,33112,19417,2024-07-30
2024-2025,06,22,CHHATTISGARH,646,BALOD,IGNOAPS,14748,1072,3262,2545,7869,14240,1914,2024-07-30
2024-2025,06,23,"MADHYA PRADESH",391,ASHOKNAGAR,IGNOAPS,28059,8597,3603,2781,13078,11334,11717,2024-07-30
2024-2025,06,23,"MADHYA PRADESH",398,CHHATARPUR,IGNOAPS,61475,20285,4547,6879,29764,45669,25868,2024-07-30
2024-2025,06,23,"MADHYA PRADESH",399,CHHINDWARA,IGNOAPS,68895,8723,22653,4437,33082,33269,30690,2024-07-30
2024-2025,06,23,"MADHYA PRADESH",403,DHAR,IGNOAPS,50984,5705,33486,2472,9321,38076,19271,2024-07-30
2024-2025,06,23,"MADHYA PRADESH",404,DINDORI,IGNOAPS,53747,3322,34053,919,15453,23275,14784,2024-07-30
2024-2025,06,23,"MADHYA PRADESH",408,HARDA,IGNOAPS,15524,3901,5096,1118,5409,6683,6788,2024-07-30
2024-2025,06,23,"MADHYA PRADESH",422,RAJGARH,IGNOAPS,126940,27897,4171,10400,84472,62270,37037,2024-07-30
2024-2025,06,23,"MADHYA PRADESH",429,SHAHDOL,IGNOAPS,44456,4542,21526,5924,12464,30891,19119,2024-07-30
2024-2025,06,23,"MADHYA PRADESH",433,SIDHI,IGNOAPS,62365,8393,17511,12907,23554,44655,25374,2024-07-30
2024-2025,06,24,GUJARAT,444,DANG,IGNOAPS,8276,34,7210,942,90,8176,4152,2024-07-30
2024-2025,06,24,GUJARAT,445,DAHOD,IGNOAPS,48888,944,37161,2280,8502,48427,45423,2024-07-30
2024-2025,06,24,GUJARAT,454,"PANCH MAHALS",IGNOAPS,30955,1288,5124,21760,2783,30381,29930,2024-07-30
2024-2025,06,24,GUJARAT,457,RAJKOT,IGNOAPS,12472,2274,605,4666,4912,12442,12215,2024-07-30
2024-2025,06,24,GUJARAT,461,VADODARA,IGNOAPS,25212,1183,1863,20544,1576,25075,8456,2024-07-30
2024-2025,06,24,GUJARAT,668,"CHHOTA UDEPUR",IGNOAPS,20924,762,17718,1854,589,18171,7462,2024-07-30
2024-2025,06,24,GUJARAT,673,MORBI,IGNOAPS,4836,592,13,2084,2117,4773,3193,2024-07-30
2024-2025,06,27,MAHARASHTRA,466,AHMEDNAGAR,IGNOAPS,36224,1611,631,32890,1092,32244,26531,2024-07-30
2024-2025,06,27,MAHARASHTRA,468,AMRAVATI,IGNOAPS,59013,2748,4551,50647,1067,36658,6689,2024-07-30
2024-2025,06,27,MAHARASHTRA,469,AURANGABAD,IGNOAPS,35599,44,13,35521,21,31651,10992,2024-07-30
2024-2025,06,27,MAHARASHTRA,476,GONDIA,IGNOAPS,25185,3550,1899,11254,8482,22312,9297,2024-07-30
2024-2025,06,27,MAHARASHTRA,481,LATUR,IGNOAPS,72063,9872,1678,46537,13976,61223,6828,2024-07-30
2024-2025,06,27,MAHARASHTRA,484,NAGPUR,IGNOAPS,39861,1385,325,35931,2220,33847,4808,2024-07-30
2024-2025,06,27,MAHARASHTRA,491,RAIGAD,IGNOAPS,6788,384,1323,3180,1901,6667,1361,2024-07-30
2024-2025,06,27,MAHARASHTRA,495,SINDHUDURG,IGNOAPS,4053,182,26,3300,545,4004,1418,2024-07-30
2024-2025,06,27,MAHARASHTRA,496,SOLAPUR,IGNOAPS,26839,1784,234,22686,2135,21285,4341,2024-07-30
2024-2025,06,28,"ANDHRA PRADESH",502,ANANTAPUR,IGNOAPS,151380,17408,5977,57130,70865,111314,99108,2024-07-30
2024-2025,06,28,"ANDHRA PRADESH",510,KRISHNA,IGNOAPS,96162,18604,3528,44286,29744,69573,67242,2024-07-30
2024-2025,06,28,"ANDHRA PRADESH",511,KURNOOL,IGNOAPS,85822,15117,1970,22702,46033,59800,62201,2024-07-30
2024-2025,06,28,"ANDHRA PRADESH",521,VIZIANAGARAM,IGNOAPS,62203,5454,6892,6811,43046,48578,51554,2024-07-30
2024-2025,06,28,"ANDHRA PRADESH",748,Eluru,IGNOAPS,25636,3461,197,11603,10375,25636,25609,2024-07-30
2024-2025,06,28,"ANDHRA PRADESH",749,NTR,IGNOAPS,17883,485,1078,9173,7147,17883,17848,2024-07-30
2024-2025,06,28,"ANDHRA PRADESH",753,Annamayya,IGNOAPS,22418,4168,703,10076,7471,22418,22394,2024-07-30
2024-2025,06,29,KARNATAKA,526,"BENGALURU RURAL",IGNOAPS,25625,3374,847,9340,12064,25120,21124,2024-07-30
2024-2025,06,29,KARNATAKA,527,BELGAUM,IGNOAPS,83353,6497,2955,22107,51794,76116,52456,2024-07-30
2024-2025,06,29,KARNATAKA,535,DAVANAGERE,IGNOAPS,20985,2208,1631,7570,9576,20216,17388,2024-07-30
2024-2025,06,29,KARNATAKA,539,HASSAN,IGNOAPS,54965,5693,557,13081,35634,53609,46484,2024-07-30
