State/UT,,Name of the Culture & DST Laboratory,Liquid culture,FL LCDST,SL LCDST,FL LPA,SL LPA
Andhra Pradesh,Public,"IRL, Visakhaptnam",Available,Certified,Certified,Certified,Certified
Andhra Pradesh,Public,"C&DST Laboratory, SMC, Vijayawada",Available,Not Certified,Not Certified,Not Certified,Not Certified
Andhra Pradesh,Public,"C&DST Laboratory, DTRC(DFIT),Nellore,A.P",Not Available,Not Certified,Not Certified,Certified,Certified
Andhra Pradesh,Public,"C&DST Laboratory, RDT Hospital, Bathalapalli",Available,Certified,Not Certified,Certified,Certified
Assam,Public,IRL Guwahati,Available,Certified,Certified,Certified,Certified
Bihar,Public,"C&DST Laboratory, JLNMCH Bhagalpur",Available,Certified,Certified,Certified,Certified
Bihar,Public,"IRL, Patna",Available,Certified,Certified,Certified,Certified
Bihar,Public,"C&DST Laboratory,IGIMS, Patna",Available,Certified,Not Certified,Not Certified,Not Certified
Bihar,Public,DFIT Darbhanga,Available,Not Certified,Not Certified,Certified,Certified
Chhattisgarh,Public,"IRL, STDC Raipur",Available,Certified,Certified,Certified,Certified
Chhattisgarh,Public,"C&DST Laboratory, AIIMS, Raipur",Not Available,Not Certified,Not Certified,Certified,Certified
Chandigarh,Public,"IRL, PGIMER Chandigarh",Available,Certified,Certified,Certified,Certified
Delhi,Public,"IRL, New Delhi TB Centre (NDTB), Delhi",Available,Certified,Certified,Certified,Certified
Delhi,Public,"IRL, AIIMS (Medicine), Delhi",Available,Certified,Certified,Certified,Certified
Delhi,Public,"NRL, NITRD, Delhi",Available,Certified,Certified,Certified,Certified
Delhi,Public,"C&DST Laboratory,RBIMPT, Delhi",Available,Certified,Not Certified,Not Certified,Not Certified
Goa,Public,IRL Goa,Available,Certified,Certified,Certified,Certified
Gujarat,Public,"IRL , STDC-Ahmedabad",Available,Certified,Certified,Certified,Certified
Gujarat,Public,"C&DST Laboratory, MPSMS, Jamnagar",Available,Certified,Certified,Certified,Certified
Gujarat,Public,"C&DST Laboratory,GMC Surat",Available,Certified,Certified,Not Certified,Not Certified
Himachal Pradesh,Public,IRL Dharampur,Not Available,Not Certified,Not Certified,Certified,Certified
Himachal Pradesh,Public,"C&DST Laboratory, IGIMS Shimla",Available,Not Certified,Not Certified,Not Certified,Not Certified
